 ,Area,Mean,Min,Max,X,Y,Slice
1,0,103,103,103,4081.000,515.667,11
2,0,92,92,92,4111.000,510.333,12
3,0,73,73,73,4154.333,506.333,12
4,0,102,102,102,4043.667,506.333,12
5,0,82,82,82,4021.000,508.333,11
6,0,83,83,83,4004.333,507.000,14
7,0,92,92,92,4112.333,519.667,16
8,0,67,67,67,4006.333,527.000,18
9,0,96,96,96,3965.667,466.333,12
10,0,87,87,87,3953.000,465.667,17
11,0,66,66,66,3934.333,466.333,19
12,0,56,56,56,3905.000,453.000,15
13,0,53,53,53,3925.000,529.000,17
14,0,58,58,58,3889.000,530.333,15
15,0,63,63,63,3875.000,529.000,18
16,0,73,73,73,3887.000,454.333,20
17,0,58,58,58,3808.333,431.667,19
18,0,24,24,24,3746.333,427.000,20
19,0,18,18,18,3771.000,555.667,19
20,0,46,46,46,3789.000,547.000,14
21,0,110,110,110,3836.333,492.333,10
22,0,87,87,87,3753.000,487.667,10
23,0,49,49,49,3809.667,479.667,10
24,0,68,68,68,3602.333,421.667,14
25,0,78,78,78,3534.333,585.667,13
26,0,94,94,94,3686.333,577.000,18
27,0,82,82,82,3442.333,596.333,15
28,0,47,47,47,3351.000,601.667,18
29,0,50,50,50,3465.000,596.333,24
30,0,42,42,42,3533.000,589.667,25
31,0,39,39,39,3260.333,599.000,29
32,0,26,26,26,3205.667,605.667,28
33,0,45,45,45,3652.333,419.333,22
34,0,93,93,93,3495.667,411.333,21
35,0,84,84,84,3278.333,390.000,16
36,0,81,81,81,3193.000,380.667,18
37,0,42,42,42,3108.333,378.000,17
38,0,60,60,60,2909.000,376.667,14
39,0,25,25,25,2859.667,370.000,17
40,0,131,131,131,2785.667,366.000,18
41,0,82,82,82,2707.667,366.000,18
42,0,61,61,61,2603.667,367.333,18
43,0,51,51,51,2466.000,369.333,21
44,0,85,85,85,2316.000,377.333,16
45,0,38,38,38,2152.000,364.000,18
46,0,57,57,57,2102.667,360.000,18
47,0,40,40,40,1950.667,359.333,19
48,0,33,33,33,1795.333,370.667,19
49,0,33,33,33,1693.667,383.667,22
50,0,34,34,34,1557.000,385.000,20
51,0,22,22,22,1408.333,369.000,19
52,0,28,28,28,1177.000,394.000,28
53,0,11,11,11,1258.000,384.000,29
54,0,27,27,27,1263.000,380.000,19
55,0,30,30,30,1224.000,384.000,20
56,0,56,56,56,1065.000,395.000,17
57,0,92,92,92,984.000,394.000,18
58,0,17,17,17,1011.000,391.000,22
59,0,50,50,50,846.000,413.000,20
60,0,14,14,14,922.000,420.000,27
61,0,48,48,48,851.000,420.000,27
62,0,52,52,52,743.000,418.000,25
63,0,56,56,56,1818.000,624.000,17
64,0,25,25,25,1736.000,608.000,18
65,0,35,35,35,1626.000,615.000,17
66,0,15,15,15,1587.000,616.000,17
67,0,12,12,12,1408.000,612.000,18
68,0,6,6,6,1486.000,614.000,30
69,0,43,43,43,1543.000,619.000,28
70,0,34,34,34,1359.000,618.000,26
71,0,37,37,37,1288.000,621.000,26
72,0,49,49,49,1203.000,614.000,28
73,0,31,31,31,1145.000,612.000,18
74,0,52,52,52,1070.000,609.000,19
75,0,23,23,23,1003.000,610.000,21
76,0,56,56,56,932.000,604.000,19
77,0,40,40,40,808.000,592.000,20
78,0,27,27,27,722.000,588.000,26
79,0,68,68,68,648.000,573.000,25
80,0,67,67,67,622.000,578.000,20
81,0,84,84,84,570.000,584.000,18
82,0,71,71,71,937.000,507.000,13
83,0,48,48,48,780.000,504.000,16
84,0,44,44,44,751.000,493.000,16
85,0,28,28,28,726.000,503.000,16
86,0,93,93,93,720.000,487.000,17
87,0,88,88,88,690.000,497.000,17
88,0,33,33,33,653.000,498.000,17
89,0,68,68,68,620.000,425.000,22
90,0,58,58,58,653.000,427.000,26
91,0,55,55,55,549.000,424.000,25
92,0,49,49,49,522.000,505.000,14
93,0,97,97,97,360.000,500.000,16
94,0,56,56,56,410.000,579.000,19
95,0,75,75,75,408.000,464.000,19
96,0,80,80,80,368.000,433.000,20
97,0,94,94,94,386.000,431.000,24
98,0,112,112,112,349.000,439.000,23
99,0,87,87,87,288.000,577.000,19
100,0,105,105,105,281.000,560.000,21
101,0,73,73,73,627.000,583.000,26
102,0,39,39,39,571.000,519.000,20
103,0,47,47,47,552.000,544.000,20
104,0,53,53,53,533.000,550.000,20
105,0,41,41,41,480.000,551.000,20
106,0,45,45,45,512.000,556.000,20
107,0,58,58,58,473.000,519.000,21
108,0,68,68,68,489.000,577.000,24
109,0,54,54,54,479.000,568.000,24
110,0,96,96,96,478.000,552.000,26
111,0,46,46,46,504.000,557.000,26
112,0,70,70,70,473.000,482.000,22
113,0,56,56,56,554.000,454.000,22
114,0,41,41,41,544.000,442.000,22
115,0,64,64,64,533.000,439.000,22
116,0,38,38,38,506.000,432.000,22
117,0,70,70,70,460.000,477.000,19
118,0,37,37,37,455.000,493.000,18
119,0,51,51,51,455.000,507.000,18
120,0,73,73,73,490.000,431.000,23
121,0,60,60,60,458.000,446.000,23
122,0,39,39,39,450.000,470.000,23
123,0,88,88,88,492.000,443.000,26
124,0,64,64,64,397.000,486.000,18
125,0,50,50,50,390.000,471.000,22
126,0,80,80,80,325.000,486.000,27
127,0,41,41,41,439.000,517.000,17
128,0,26,26,26,404.000,517.000,17
129,0,44,44,44,302.000,506.000,15
130,0,106,106,106,276.000,489.000,20
131,0,67,67,67,274.000,483.000,20
132,0,87,87,87,228.000,494.000,20
133,0,53,53,53,228.000,521.000,21
134,0,59,59,59,272.000,519.000,21
135,0,36,36,36,269.000,531.000,21
136,0,39,39,39,282.000,529.000,21
137,0,74,74,74,310.000,529.000,21
138,0,43,43,43,329.000,541.000,21
139,0,55,55,55,346.000,547.000,21
140,0,64,64,64,354.000,536.000,21
141,0,54,54,54,377.000,541.000,21
142,0,62,62,62,369.000,528.000,21
143,0,64,64,64,381.000,531.000,21
144,0,71,71,71,375.000,522.000,19
145,0,64,64,64,329.000,473.000,20
146,0,47,47,47,310.000,491.000,20
147,0,38,38,38,237.000,549.000,20
148,0,62,62,62,437.000,525.000,31
149,0,99,99,99,386.000,528.000,28
150,0,41,41,41,445.000,507.000,32
151,0,96,96,96,251.000,492.000,30
152,0,45,45,45,489.000,524.000,29
153,0,58,58,58,447.000,539.000,25
154,0,43,43,43,463.000,546.000,25
155,0,96,96,96,184.000,533.000,27
156,0,96,96,96,145.000,532.000,25
157,0,91,91,91,397.000,517.000,31
158,0,48,48,48,153.000,506.000,26
159,0,98,98,98,136.000,463.000,20
160,0,63,63,63,140.000,487.000,19
161,0,102,102,102,143.000,557.000,19
162,0,93,93,93,184.000,543.000,19
163,0,35,35,35,138.000,527.000,19
164,0,31,31,31,165.000,529.000,19
165,0,64,64,64,39.000,487.000,17
166,0,92,92,92,91.000,553.000,17
167,0,68,68,68,55.000,492.000,16
