 ,Area,Mean,Min,Max,X,Y,Slice
1,0,128.324,128.324,128.324,207,2273,17
2,0,252.371,252.371,252.371,470,2246,15
3,0,113.730,113.730,113.730,489,2247,15
4,0,221.010,221.010,221.010,394,2296,17
5,0,159.847,159.847,159.847,311,2278,18
6,0,204.823,204.823,204.823,193,2230,18
7,0,95.232,95.232,95.232,198,2239,18
8,0,106.164,106.164,106.164,73,2250,19
9,0,118.976,118.976,118.976,106,2272,19
10,0,196.524,196.524,196.524,151,2243,20
11,0,207.683,207.683,207.683,170,2244,20
12,0,134.963,134.963,134.963,149,2291,20
13,0,78.337,78.337,78.337,159,2219,20
14,0,134.663,134.663,134.663,82,2234,22
15,0,115.390,115.390,115.390,192,2284,21
16,0,255.000,255.000,255.000,184,2260,22
17,0,242.591,242.591,242.591,198,2266,22
18,0,171.758,171.758,171.758,190,2270,24
19,0,100.278,100.278,100.278,44,2239,22
20,0,149.776,149.776,149.776,42,2227,24
21,0,195.256,195.256,195.256,6,2261,24
22,0,160.751,160.751,160.751,3,2235,27
23,0,126.267,126.267,126.267,14,2250,30
24,0,106.846,106.846,106.846,14,2278,30
25,0,71.130,71.130,71.130,14,2291,30
26,0,146.614,146.614,146.614,47,2245,30
27,0,170.790,170.790,170.790,56,2277,30
28,0,86.009,86.009,86.009,38,2291,30
29,0,80.035,80.035,80.035,67,2227,27
30,0,53.178,53.178,53.178,65,2297,27
31,0,157.439,157.439,157.439,49,2261,23
32,0,252.112,252.112,252.112,73,2264,23
33,0,91.322,91.322,91.322,55,2288,23
34,0,111.079,111.079,111.079,83,2219,24
35,0,79.177,79.177,79.177,81,2256,23
36,0,154.177,154.177,154.177,76,2278,30
37,0,54.867,54.867,54.867,110,2275,31
38,0,104.188,104.188,104.188,119,2279,34
39,0,91.363,91.363,91.363,122,2295,32
40,0,174.336,174.336,174.336,136,2294,32
41,0,109.300,109.300,109.300,70,2241,31
42,0,93.409,93.409,93.409,63,2221,31
43,0,66.252,66.252,66.252,94,2222,31
44,0,89.764,89.764,89.764,97,2242,31
45,0,119.576,119.576,119.576,123,2251,31
46,0,166.912,166.912,166.912,118,2303,30
47,0,128.449,128.449,128.449,101,2302,30
48,0,135.513,135.513,135.513,147,2253,29
49,0,127.744,127.744,127.744,156,2224,29
50,0,192.411,192.411,192.411,117,2220,28
51,0,186.653,186.653,186.653,132,2208,28
52,0,201.690,201.690,201.690,127,2226,27
53,0,176.672,176.672,176.672,161,2213,27
54,0,82.613,82.613,82.613,150,2201,27
55,0,119.111,119.111,119.111,168,2251,29
56,0,177.376,177.376,177.376,179,2251,29
57,0,116.229,116.229,116.229,188,2245,29
58,0,219.404,219.404,219.404,194,2260,29
59,0,147.336,147.336,147.336,198,2252,29
60,0,203.995,203.995,203.995,178,2286,29
61,0,170.328,170.328,170.328,187,2282,29
62,0,103.794,103.794,103.794,138,2282,29
63,0,67.049,67.049,67.049,162,2322,29
64,0,145.027,145.027,145.027,138,2300,26
65,0,160.740,160.740,160.740,118,2303,26
66,0,179.586,179.586,179.586,105,2233,23
67,0,252.154,252.154,252.154,113,2233,23
68,0,91.331,91.331,91.331,170,2234,24
69,0,255.000,255.000,255.000,169,2259,24
70,0,251.071,251.071,251.071,143,2264,24
71,0,212.613,212.613,212.613,116,2264,24
72,0,164.284,164.284,164.284,123,2273,23
73,0,246.373,246.373,246.373,163,2270,22
74,0,180.300,180.300,180.300,143,2238,21
75,0,78.151,78.151,78.151,106,2273,36
76,0,67.240,67.240,67.240,53,2253,36
77,0,40.790,40.790,40.790,112,2245,36
78,0,34.458,34.458,34.458,77,2278,37
79,0,215.817,215.817,215.817,87,2227,27
80,0,117.456,117.456,117.456,107,2297,23
81,0,104.139,104.139,104.139,160,2286,24
82,0,134.699,134.699,134.699,170,2314,23
83,0,149.125,149.125,149.125,201,2322,25
84,0,83.227,83.227,83.227,196,2229,28
85,0,117.150,117.150,117.150,208,2287,29
86,0,223.245,223.245,223.245,198,2292,29
87,0,188.413,188.413,188.413,217,2308,27
88,0,170.330,170.330,170.330,224,2315,27
89,0,207.994,207.994,207.994,234,2284,29
90,0,161.053,161.053,161.053,229,2248,30
91,0,87.051,87.051,87.051,238,2247,30
92,0,154.849,154.849,154.849,231,2222,30
93,0,73.609,73.609,73.609,230,2208,30
94,0,44.512,44.512,44.512,192,2191,31
95,0,56.750,56.750,56.750,191,2208,32
96,0,66.942,66.942,66.942,81,2287,32
97,0,64.410,64.410,64.410,86,2298,32
98,0,66.425,66.425,66.425,152,2290,35
99,0,59.793,59.793,59.793,163,2271,33
100,0,52.565,52.565,52.565,188,2299,26
101,0,75.882,75.882,75.882,209,2312,22
102,0,93.159,93.159,93.159,221,2303,22
103,0,255.000,255.000,255.000,232,2293,22
104,0,251.636,251.636,251.636,246,2289,22
105,0,63.989,63.989,63.989,258,2311,22
106,0,215.678,215.678,215.678,262,2288,22
107,0,244.215,244.215,244.215,232,2241,20
108,0,254.555,254.555,254.555,230,2250,20
109,0,214.096,214.096,214.096,238,2259,20
110,0,255.000,255.000,255.000,233,2269,20
111,0,240.359,240.359,240.359,234,2283,20
112,0,248.467,248.467,248.467,247,2292,20
113,0,224.989,224.989,224.989,262,2287,20
114,0,255.000,255.000,255.000,253,2278,20
115,0,207.172,207.172,207.172,260,2265,20
116,0,251.620,251.620,251.620,273,2259,20
117,0,210.721,210.721,210.721,278,2283,20
118,0,255.000,255.000,255.000,228,2228,22
119,0,255.000,255.000,255.000,233,2239,22
120,0,239.889,239.889,239.889,260,2250,22
121,0,147.812,147.812,147.812,235,2268,22
122,0,119.668,119.668,119.668,276,2204,19
123,0,189.190,189.190,189.190,283,2248,26
124,0,186.209,186.209,186.209,294,2239,26
125,0,121.159,121.159,121.159,304,2226,26
126,0,122.843,122.843,122.843,268,2248,28
127,0,108.507,108.507,108.507,286,2258,31
128,0,84.020,84.020,84.020,268,2259,31
129,0,126.953,126.953,126.953,256,2258,31
130,0,181.740,181.740,181.740,275,2246,30
131,0,108.023,108.023,108.023,258,2247,30
132,0,153.321,153.321,153.321,234,2232,30
133,0,119.729,119.729,119.729,255,2176,27
134,0,120.067,120.067,120.067,268,2174,27
135,0,170.910,170.910,170.910,247,2254,32
136,0,144.804,144.804,144.804,237,2281,34
137,0,42.790,42.790,42.790,241,2290,34
138,0,74.898,74.898,74.898,232,2296,34
139,0,81.479,81.479,81.479,225,2286,34
140,0,35.080,35.080,35.080,252,2320,33
141,0,43.807,43.807,43.807,171,2303,36
142,0,60.900,60.900,60.900,207,2249,36
143,0,23.522,23.522,23.522,204,2285,38
144,0,139.913,139.913,139.913,280,2309,25
145,0,114.986,114.986,114.986,274,2298,26
146,0,232.636,232.636,232.636,262,2290,26
147,0,74.268,74.268,74.268,261,2224,26
148,0,69.246,69.246,69.246,308,2300,19
149,0,83.530,83.530,83.530,341,2314,19
150,0,77.901,77.901,77.901,364,2305,19
151,0,142.474,142.474,142.474,395,2300,18
152,0,253.940,253.940,253.940,319,2265,19
153,0,248.503,248.503,248.503,330,2259,19
154,0,133.861,133.861,133.861,345,2296,23
155,0,217.143,217.143,217.143,317,2301,26
156,0,128.272,128.272,128.272,332,2306,26
157,0,145.179,145.179,145.179,325,2316,26
158,0,88.800,88.800,88.800,331,2337,26
159,0,141.479,141.479,141.479,250,2243,27
160,0,128.584,128.584,128.584,286,2230,30
161,0,83.316,83.316,83.316,256,2277,31
162,0,96.155,96.155,96.155,270,2273,31
163,0,189.215,189.215,189.215,258,2290,31
164,0,135.910,135.910,135.910,268,2288,31
165,0,63.481,63.481,63.481,342,2255,37
166,0,154.164,154.164,154.164,315,2309,29
167,0,86.236,86.236,86.236,337,2313,29
168,0,154.758,154.758,154.758,317,2289,32
169,0,91.635,91.635,91.635,308,2303,32
170,0,138.040,138.040,138.040,329,2302,32
171,0,83.300,83.300,83.300,338,2304,32
172,0,117.190,117.190,117.190,327,2273,33
173,0,86.562,86.562,86.562,335,2284,33
174,0,157.980,157.980,157.980,319,2261,31
175,0,116.613,116.613,116.613,328,2266,31
176,0,86.678,86.678,86.678,358.500,2197.500,37
177,0,151.367,151.367,151.367,357,2228,34
178,0,115.767,115.767,115.767,371.500,2223.500,34
179,0,84.050,84.050,84.050,363,2208.500,34
180,0,66.134,66.134,66.134,339.500,2210,34
181,0,98.310,98.310,98.310,350,2219.500,34
182,0,106.540,106.540,106.540,342,2223,34
183,0,103.173,103.173,103.173,327.500,2225.500,34
184,0,183.317,183.317,183.317,342.500,2240.500,34
185,0,125.233,125.233,125.233,329,2241,34
186,0,98.498,98.498,98.498,322.500,2242,34
187,0,72.785,72.785,72.785,312,2250,34
188,0,116.473,116.473,116.473,348.500,2265,31
189,0,40.480,40.480,40.480,332,2172.500,33
190,0,62.971,62.971,62.971,342.500,2177.500,33
191,0,102.002,102.002,102.002,396,2184,28
192,0,126.906,126.906,126.906,378,2184,28
193,0,139.341,139.341,139.341,386.500,2197.500,28
194,0,134.299,134.299,134.299,368.500,2195,28
195,0,141.653,141.653,141.653,374.500,2206,28
196,0,150.500,150.500,150.500,358.500,2204,28
197,0,194.357,194.357,194.357,363,2215,28
198,0,226.281,226.281,226.281,349,2217.500,28
199,0,84.597,84.597,84.597,355.500,2189,29
200,0,80.235,80.235,80.235,388,2216.500,31
201,0,119.795,119.795,119.795,381.500,2224.500,31
202,0,45.511,45.511,45.511,394.500,2227.500,31
203,0,150.153,150.153,150.153,350,2249,30
204,0,93.366,93.366,93.366,360,2253,30
205,0,57.053,57.053,57.053,362,2237.500,30
206,0,91.742,91.742,91.742,371.500,2249,30
207,0,67.077,67.077,67.077,389.500,2261.500,30
208,0,150.319,150.319,150.319,407,2252,29
209,0,135.906,135.906,135.906,418.500,2254.500,29
210,0,170.686,170.686,170.686,326,2234,29
211,0,151.345,151.345,151.345,433.500,2177.500,29
212,0,119.586,119.586,119.586,447.500,2174,29
213,0,98.882,98.882,98.882,437,2195.500,29
214,0,87.439,87.439,87.439,453.500,2183,31
215,0,123.574,123.574,123.574,391,2156.500,26
216,0,128.793,128.793,128.793,401.500,2156,26
217,0,212.644,212.644,212.644,449.500,2227.500,31
218,0,79.138,79.138,79.138,462.500,2219.500,31
219,0,75.309,75.309,75.309,384,2271,32
220,0,103.687,103.687,103.687,369.500,2287.500,33
221,0,85.292,85.292,85.292,407,2281,33
222,0,149.042,149.042,149.042,405,2260.500,23
223,0,253.546,253.546,253.546,407.500,2272,23
224,0,217.266,217.266,217.266,338,2239.500,23
225,0,141.500,141.500,141.500,360.500,2234.500,23
226,0,184.528,184.528,184.528,371,2239.500,23
227,0,113.196,113.196,113.196,379,2251,23
228,0,162.375,162.375,162.375,380,2261,23
229,0,157.973,157.973,157.973,364.500,2254,23
230,0,169.276,169.276,169.276,358,2259.500,23
231,0,153.689,153.689,153.689,351.500,2249.500,23
