 ,Area,Mean,Min,Max,X,Y,Slice
1,0,25,25,25,4072,512,7
2,0,31,31,31,4016,504,7
3,0,26,26,26,3520,508,7
4,0,46,46,46,3228,496,7
5,0,91,91,91,4080,512,8
6,0,76,76,76,4016,508,8
7,0,33,33,33,3832,488,8
8,0,59,59,59,3752,488,8
9,0,8,8,8,3512,500,8
10,0,67,67,67,3376,504,8
11,0,79,79,79,3224,496,8
12,0,28,28,28,2888,560,8
13,0,60,60,60,2800,576,8
14,0,21,21,21,2444,488,8
15,0,99,99,99,4076,516,9
16,0,96,96,96,4020,504,9
17,0,87,87,87,3832,496,9
18,0,32,32,32,3768,496,9
19,0,91,91,91,3752,484,9
20,0,106,106,106,3520,508,9
21,0,58,58,58,3408,504,9
22,0,40,40,40,3372,500,9
23,0,90,90,90,3224,496,9
24,0,36,36,36,3144,488,9
25,0,28,28,28,3096,488,9
26,0,13,13,13,2896,564,9
27,0,40,40,40,2856,504,9
28,0,94,94,94,2800,576,9
29,0,46,46,46,2736,504,9
30,0,45,45,45,2440,484,9
31,0,25,25,25,2172,488,9
32,0,28,28,28,4104,504,10
33,0,96,96,96,4076,512,10
34,0,9,9,9,4064,492,10
35,0,51,51,51,4040,504,10
36,0,85,85,85,4020,512,10
37,0,89,89,89,3836,488,10
38,0,28,28,28,3808,484,10
39,0,104,104,104,3756,488,10
40,0,62,62,62,3692,556,10
41,0,91,91,91,3520,508,10
42,0,70,70,70,3408,508,10
43,0,48,48,48,3372,504,10
44,0,95,95,95,3224,500,10
45,0,37,37,37,3152,492,10
46,0,30,30,30,3104,484,10
47,0,98,98,98,2892,564,10
48,0,20,20,20,2856,500,10
49,0,102,102,102,2800,576,10
50,0,47,47,47,2788,496,10
51,0,72,72,72,2740,504,10
52,0,83,83,83,2504,468,10
53,0,70,70,70,2480,480,10
54,0,48,48,48,2480,512,10
55,0,18,18,18,2444,488,10
56,0,19,19,19,2388,500,10
57,0,52,52,52,2356,464,10
58,0,37,37,37,2340,456,10
59,0,18,18,18,2172,492,10
60,0,38,38,38,1984,492,10
61,0,19,19,19,1860,500,10
62,0,22,22,22,1672,504,10
63,0,77,77,77,4152,504,11
64,0,52,52,52,4104,512,11
65,0,101,101,101,4080,512,11
66,0,92,92,92,4044,504,11
67,0,106,106,106,4020,504,11
68,0,38,38,38,4000,508,11
69,0,94,94,94,3964,464,11
70,0,78,78,78,3832,488,11
71,0,47,47,47,3812,480,11
72,0,24,24,24,3780,552,11
73,0,83,83,83,3760,488,11
74,0,23,23,23,3688,548,11
75,0,39,39,39,3536,580,11
76,0,70,70,70,3520,504,11
77,0,44,44,44,3464,488,11
78,0,49,49,49,3448,504,11
79,0,27,27,27,3352,476,11
80,0,38,38,38,3308,484,11
81,0,29,29,29,3256,496,11
82,0,91,91,91,3220,496,11
83,0,48,48,48,3196,480,11
84,0,45,45,45,3164,492,11
85,0,75,75,75,3104,488,11
86,0,13,13,13,2976,564,11
