X,Y,Z
182.4429624,523.8451021,17
476.0196036,494.5478914,15
497.4887048,495.0539504,15
392.8581035,540.9094842,17
298.95727,526.3121997,18
165.001634,485.3938384,18
170.9291918,493.3488661,18
32.61633502,505.4790509,19
70.0153061,524.6709921,19
118.6754094,497.8534592,20
139.8559322,498.3946748,20
118.6039136,540.9364241,20
126.66833,476.1365346,20
41.82160249,490.954554,22
166.3028116,533.9709424,21
156.215734,512.5720016,22
171.9933512,517.5827142,22
163.4348449,521.3501543,24
0.022519334,496.0715253,22
-2.627600253,485.2736455,24
-40.85578806,516.5234471,24
-45.14924868,493.1167953,27
-32.41409505,506.5132765,30
-31.26042961,531.5445625,30
-30.68463218,543.1886465,30
3.625024962,501.4096391,30
14.9000759,529.9910087,30
-4.40991596,542.9158443,30
24.95192764,484.8608844,27
25.74824522,547.7563134,27
6.523515169,515.7946722,23
33.1235308,518.0613794,23
14.18713504,539.9882666,23
42.23872446,477.4801449,24
41.6333545,510.704959,23
37.03982721,530.5739346,30
74.51294232,527.2910102,31
84.64018757,530.6802497,34
88.76685653,545.1238032,32
104.3918673,543.8871642,32
28.91154772,497.4326169,31
20.31174767,479.5236372,31
54.65134143,479.9722387,31
58.75593501,497.9067117,31
87.9043235,505.4824972,31
84.6541605,552.3642001,30
65.75620119,551.679884,30
114.7855781,506.8477992,29
123.5356967,480.6852931,29
80.10960007,477.7825772,28
96.18516929,466.7429482,28
91.35700369,483.0279971,27
128.5968125,470.7178348,27
115.9159116,460.1116567,27
138.0516952,504.6679434,29
150.2639266,504.5165599,29
160.0430357,498.9673075,29
167.4989303,512.3907077,29
171.5252389,505.0013526,29
150.6393395,536.0002454,29
160.5062386,532.2175222,29
105.9516459,533.0616533,29
134.4407014,568.5331858,29
106.7567923,549.3271833,26
84.70465167,552.2773696,26
67.25065918,489.7182396,23
76.23229274,489.5173495,23
139.5506978,489.4086609,24
139.4926442,511.8381019,24
110.6669257,516.8554733,24
80.76833034,517.3070179,24
88.8861146,525.2420624,23
133.2660509,521.8634766,22
109.7059915,493.5553819,21
70.14501007,525.4984291,36
10.46608332,508.4737072,36
75.45727341,500.3172957,36
38.09425342,530.6024689,37
47.09781679,484.5143763,27
72.22002305,547.0795935,23
130.5288329,536.3064084,24
142.9621632,561.2717047,23
177.9419065,567.8662564,25
168.3030221,484.4624449,28
184.1664903,536.3741656,29
173.2373436,540.9997104,29
195.0905857,554.9603793,27
203.200901,561.0851258,27
213.0698718,533.1717724,29
205.9344665,500.986219,30
215.8999897,499.8448817,30
207.0848806,477.593569,30
205.3955232,464.8866405,30
162.2861557,450.3799201,31
161.8545716,465.7157249,32
43.04753169,538.5117756,32
49.06584934,548.4217554,32
121.9475169,540.0181104,35
133.3738933,522.6766032,33
162.3820604,547.4292077,26
186.4732653,558.7640442,22
199.4879965,550.395848,22
211.3042385,541.2112046,22
226.6433932,537.4179257,22
241.14135,557.012012,22
244.6035754,536.1226771,22
209.0776045,494.6127103,20
207.1482229,502.6786552,20
216.4264224,510.5770588,20
211.3269418,519.6471374,20
213.0224665,532.3043922,20
227.8420229,540.0043123,20
244.4195141,535.3340228,20
234.0246906,527.3680125,20
241.3278822,515.5901687,20
255.5542487,509.997276,20
262.2454358,531.3579188,20
203.9763944,482.9577835,22
210.0084652,492.7182208,22
240.7321038,502.1609923,22
213.5554174,518.6911171,22
256.6057145,460.5717395,19
266.3379967,499.8438191,26
278.1642713,491.6774554,26
288.8431506,479.815936,26
249.5575955,500.1717717,28
270.2298812,508.8692797,31
250.1038453,510.0590718,31
236.4830476,509.3979974,31
257.2849161,498.2761446,30
238.373158,499.4699655,30
210.9578007,486.4728123,30
231.930556,435.8393881,27
246.5604638,433.690377,27
226.3570968,505.9016672,32
216.2617027,530.4140665,34
221.1738698,538.4044091,34
211.2750875,544.0045246,34
203.0514162,535.0220038,34
234.7579738,565.0482491,33
143.6861247,551.3662899,36
181.3965972,502.2521622,36
179.6116858,534.610529,38
265.5266093,554.684105,25
258.4312276,544.9862597,26
244.6878536,538.040243,26
240.7145609,478.7156433,26
296.5730196,546.1411976,19
334.2606901,558.1123931,19
359.5320003,549.5897334,19
394.1569375,544.438911,18
307.2973614,514.4588584,19
319.3933832,508.9172033,19
337.8463869,541.805895,23
306.7254568,546.8833629,26
323.7487968,551.0587446,26
316.3638821,560.1107066,26
323.9787459,578.997532,26
229.1569308,495.9588105,27
269.0074426,483.6661482,30
237.3356713,526.476197,31
252.8689431,522.5887257,31
240.1849466,538.0396796,31
251.2768612,536.0872106,31
332.8087051,505.0401488,37
304.8528184,554.0067465,29
329.6872653,557.2518686,29
306.2255553,536.1359152,32
296.7636146,548.7584249,32
320.3000034,547.5101965,32
330.300507,549.13397,32
316.6964588,521.5203196,33
326.076915,531.1681473,33
307.2641842,510.9724799,31
317.4432441,515.1966178,31
348.8118369,453.0734662,37
