X,Y
0,480
4.9979,478.6724
9.9989,477.3452
15.006,476.0187
20.0223,474.6933
25.0507,473.3694
30.0944,472.0474
35.1563,470.7275
40.2396,469.4103
45.3473,468.096
50.4824,466.785
55.648,465.4777
60.8471,464.1744
66.0827,462.8756
71.358,461.5816
76.676,460.2928
82.0397,459.0095
87.4522,457.732
92.9164,456.4609
98.4356,455.1964
104.0126,453.9389
109.6506,452.6888
115.3526,451.4464
121.1216,450.2122
126.9608,448.9864
132.8731,447.7695
138.8616,446.5618
144.9293,445.3637
151.0794,444.1756
157.3141,442.9978
163.6324,441.8304
170.0316,440.6734
176.5089,439.527
183.0618,438.3912
189.6875,437.266
196.3834,436.1515
203.1469,435.0477
209.9751,433.9547
216.8656,432.8726
223.8156,431.8013
230.8224,430.7409
237.8834,429.6916
244.9959,428.6532
252.1573,427.6259
259.3649,426.6098
266.6159,425.6049
273.9079,424.6112
281.238,423.6288
288.6036,422.6577
296.0021,421.698
303.4308,420.7497
310.8869,419.8129
318.368,418.8877
325.8711,417.974
333.3938,417.072
340.9334,416.1817
348.4871,415.3031
356.0524,414.4363
363.6265,413.5813
371.2068,412.7383
378.7905,411.9071
386.3752,411.088
393.958,410.2809
401.5363,409.4858
409.1074,408.703
416.6688,407.9323
424.2184,407.1738
431.7569,406.4277
439.2854,405.6938
446.8048,404.9724
454.3162,404.2634
461.8206,403.5668
469.3192,402.8827
476.8129,402.2112
484.3027,401.5522
491.7898,400.9059
499.2751,400.2723
506.7597,399.6514
514.2447,399.0433
521.731,398.4479
529.2198,397.8655
536.712,397.2959
544.2088,396.7393
551.7111,396.1956
559.22,395.665
566.7365,395.1475
574.2617,394.6431
581.7966,394.1518
589.3423,393.6737
596.8998,393.2089
604.4702,392.7574
612.0543,392.3192
619.6535,391.8944
627.2686,391.483
634.9008,391.0851
642.5509,390.7007
650.2202,390.3298
657.9096,389.9726
665.6202,389.629
673.353,389.299
681.1091,388.9828
688.8895,388.6804
696.6953,388.3918
704.5274,388.1171
712.3869,387.8562
720.2734,387.6088
728.1852,387.3741
736.121,387.1513
744.079,386.9395
752.0578,386.7381
760.0556,386.5462
768.071,386.363
776.1024,386.1877
784.1481,386.0195
792.2067,385.8576
800.2765,385.7013
808.3559,385.5497
816.4434,385.402
824.5375,385.2574
832.6364,385.1152
840.7386,384.9746
848.8427,384.8347
856.9468,384.6948
865.0497,384.554
873.1495,384.4116
881.2448,384.2668
889.3339,384.1187
897.4154,383.9667
905.4875,383.8098
913.5488,383.6473
921.5977,383.4784
929.6325,383.3023
937.6517,383.1182
945.6537,382.9253
953.6371,382.7228
961.6,382.51
969.5411,382.2859
977.4586,382.0499
985.3511,381.8011
993.2169,381.5388
1001.0545,381.2621
1008.8623,380.9703
1016.6387,380.6625
1024.3821,380.3379
1032.0911,379.9958
1039.7643,379.6357
1047.4028,379.2578
1055.0077,378.863
1062.5803,378.4519
1070.1219,378.0252
1077.6339,377.5834
1085.1173,377.1274
1092.5736,376.6577
1100.0039,376.175
1107.4095,375.68
1114.7917,375.1734
1122.152,374.6558
1129.4912,374.1279
1136.8109,373.5904
1144.1123,373.0439
1151.3967,372.4891
1158.6653,371.9267
1165.9194,371.3573
1173.1603,370.7816
1180.3892,370.2003
1187.6073,369.614
1194.8162,369.0234
1202.0167,368.4293
1209.2104,367.8321
1216.3987,367.2327
1223.5824,366.6317
1230.7631,366.0297
1237.942,365.4274
1245.1204,364.8255
1252.2996,364.2246
1259.4806,363.6255
1266.665,363.0288
1273.8539,362.4351
1281.0487,361.8451
1288.2505,361.2596
1295.4607,360.6791
1302.6804,360.1043
1309.9111,359.5359
1317.1534,358.9741
1324.4083,358.419
1331.6765,357.8708
1338.9587,357.3296
1346.2556,356.7956
1353.5682,356.2687
1360.8971,355.7493
1368.2429,355.2374
1375.6067,354.733
1382.989,354.2365
1390.3907,353.7478
1397.8125,353.2671
1405.2552,352.7946
1412.7196,352.3303
1420.2063,351.8744
1427.7162,351.427
1435.25,350.9882
1442.8086,350.5582
1450.3925,350.1371
1458.0027,349.7249
1465.6398,349.322
1473.3047,348.9283
1480.998,348.5439
1488.7206,348.1691
1496.4733,347.8039
1504.2566,347.4485
1512.0715,347.103
1519.9188,346.7675
1527.7991,346.4421
1535.7131,346.127
1543.6619,345.8223
1551.6459,345.5281
1559.666,345.2446
1567.723,344.9718
1575.8176,344.7099
1583.9507,344.4591
1592.1228,344.2194
1600.3348,343.9909
1608.5873,343.7739
1616.8795,343.5681
1625.2108,343.3735
1633.5804,343.19
1641.9874,343.0175
1650.4312,342.8559
1658.9106,342.7051
1667.4254,342.5649
1675.9744,342.4355
1684.5569,342.3164
1693.1722,342.2078
1701.8195,342.1095
1710.4979,342.0214
1719.2068,341.9434
1727.9452,341.8755
1736.7124,341.8174
1745.5077,341.7691
1754.3302,341.7306
1763.1793,341.7016
1772.054,341.6822
1780.9535,341.6721
1789.8772,341.6714
1798.8242,341.68
1807.7937,341.6976
1816.785,341.7243
1825.7972,341.7599
1834.8297,341.8042
1843.8815,341.8574
1852.9519,341.9191
1862.0402,341.9894
1871.1455,342.0681
1880.267,342.1551
1889.4041,342.2504
1898.5557,342.3537
1907.7212,342.4651
1916.8999,342.5845
1926.0909,342.7117
1935.2935,342.8466
1944.5067,342.9892
1953.73,343.1393
1962.9623,343.2968
1972.2031,343.4617
1981.4515,343.6338
1990.7068,343.813
1999.968,343.9994
2009.2345,344.1925
2018.5051,344.3922
2027.7789,344.5977
2037.0547,344.8088
2046.3315,345.0247
2055.6082,345.2452
2064.8838,345.4696
2074.157,345.6974
2083.427,345.9283
2092.6926,346.1615
2101.9529,346.3968
2111.2065,346.6335
2120.4524,346.8712
2129.6899,347.1093
2138.9177,347.3474
2148.1345,347.585
2157.3396,347.8216
2166.5317,348.0566
2175.71,348.2896
2184.873,348.5201
2194.02,348.7476
2203.1499,348.9715
2212.2612,349.1915
2221.3535,349.4069
2230.4253,349.6173
2239.4756,349.8222
2248.5034,350.0211
2257.5073,350.2135
2266.4868,350.3989
2275.4407,350.5768
2284.3674,350.7466
2293.2664,350.908
2302.1365,351.0604
2310.9763,351.2032
2319.7854,351.3362
2328.562,351.4585
2337.3057,351.5699
2346.0146,351.6698
2354.6885,351.7578
2363.3259,351.8332
2371.9258,351.8956
2380.4871,351.9446
2389.0088,351.9796
2397.4897,352.0001
2405.929,352.0056
2414.3252,351.9957
2422.6785,351.9702
2430.99,351.93
2439.2617,351.8759
2447.4951,351.8089
2455.6919,351.7296
2463.8533,351.6391
2471.9812,351.5382
2480.0771,351.4277
2488.1428,351.3085
2496.1797,351.1814
2504.1895,351.0474
2512.1738,350.9073
2520.1343,350.7618
2528.0723,350.6121
2535.9897,350.4587
2543.8879,350.3028
2551.7688,350.145
2559.6338,349.9862
2567.4846,349.8274
2575.3225,349.6693
2583.1494,349.5129
2590.967,349.359
2598.7769,349.2085
2606.5803,349.0622
2614.3789,348.921
2622.1748,348.7857
2629.9692,348.6573
2637.7639,348.5365
2645.5601,348.4242
2653.3599,348.3214
2661.1648,348.2288
2668.9761,348.1473
2676.7959,348.0778
