 ,Area,Mean,Min,Max,X,Y,Slice
1,0,105,105,105,361.464,502.033,15
2,0,45,45,45,301.220,505.380,15
3,0,104,104,104,354.770,502.033,16
4,0,76,76,76,294.526,508.727,16
5,0,89,89,89,361.464,498.687,17
6,0,64,64,64,404.974,468.565,17
7,0,56,56,56,301.220,508.727,17
8,0,63,63,63,361.464,498.687,18
9,0,77,77,77,404.974,461.871,18
10,0,75,75,75,394.933,488.646,18
11,0,106,106,106,408.321,468.565,19
12,0,42,42,42,461.871,475.258,19
13,0,99,99,99,411.667,465.218,20
14,0,13,13,13,301.220,495.340,20
15,0,26,26,26,307.914,528.809,20
16,0,34,34,34,327.995,538.849,20
17,0,22,22,22,307.914,528.809,21
18,0,36,36,36,324.648,548.890,21
19,0,50,50,50,348.077,535.502,21
20,0,96,96,96,408.321,461.871,21
21,0,37,37,37,468.565,478.605,22
22,0,40,40,40,471.911,515.421,22
23,0,57,57,57,378.199,528.809,25
24,0,51,51,51,321.301,481.952,25
25,0,84,84,84,314.608,485.299,26
26,0,66,66,66,378.199,528.809,26
27,0,98,98,98,321.301,488.646,27
28,0,89,89,89,374.852,528.809,27
29,0,105,105,105,321.301,488.646,28
30,0,66,66,66,381.545,532.156,28
31,0,97,97,97,321.301,488.646,29
32,0,68,68,68,378.199,528.809,29
33,0,36,36,36,435.096,528.809,29
34,0,43,43,43,431.749,522.115,28
35,0,56,56,56,491.993,525.462,30
36,0,51,51,51,435.096,525.462,30
37,0,51,51,51,374.852,528.809,30
38,0,60,60,60,317.955,488.646,30
39,0,33,33,33,435.096,525.462,31
40,0,52,52,52,435.096,525.462,32
41,0,33,33,33,448.483,502.034,32
42,0,32,32,32,435.096,525.462,33
43,0,52,52,52,441.789,505.380,33
44,0,51,51,51,438.443,522.115,34
45,0,41,41,41,445.136,502.034,34
46,0,83,83,83,622.522,575.665,21
47,0,99,99,99,568.971,582.359,21
48,0,66,66,66,813.294,589.053,21
49,0,78,78,78,575.665,575.665,20
50,0,51,51,51,622.522,568.971,20
51,0,93,93,93,813.294,592.400,20
52,0,92,92,92,568.971,582.359,19
53,0,116,116,116,615.828,575.665,19
54,0,65,65,65,796.560,585.706,19
55,0,98,98,98,568.971,582.359,18
56,0,11,11,11,622.522,568.971,18
57,0,21,21,21,799.907,595.746,18
58,0,67,67,67,565.624,582.359,17
59,0,77,77,77,615.828,575.665,17
60,0,60,60,60,568.971,582.359,16
61,0,75,75,75,354.770,502.034,14
62,0,30,30,30,468.565,515.421,21
63,0,37,37,37,468.565,478.605,21
64,0,47,47,47,277.792,495.340,21
65,0,59,59,59,481.952,555.584,21
66,0,59,59,59,572.318,522.115,21
67,0,50,50,50,478.605,552.237,20
68,0,46,46,46,568.971,522.115,20
69,0,52,52,52,565.624,522.115,19
70,0,28,28,28,545.543,542.196,19
71,0,12,12,12,548.890,542.196,18
72,0,16,16,16,455.177,471.911,18
73,0,42,42,42,481.952,548.890,19
74,0,47,47,47,458.524,475.258,20
75,0,25,25,25,475.258,515.421,20
76,0,79,79,79,354.770,535.502,20
77,0,22,22,22,374.852,525.462,20
78,0,43,43,43,374.852,518.768,19
79,0,83,83,83,371.505,528.809,21
80,0,103,103,103,568.971,582.359,22
81,0,61,61,61,619.175,572.318,22
82,0,75,75,75,809.947,589.053,22
83,0,17,17,17,565.624,582.359,23
84,0,64,64,64,619.175,575.665,23
85,0,108,108,108,649.297,575.665,23
86,0,82,82,82,622.522,582.359,24
87,0,75,75,75,645.950,575.665,24
